unix_time,ovr_timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1774163144498,77478.809994536,-0.000650044530630112,0.706573307514191,0.149585992097855,0.18868000805378,0.129236340522766,0.0663236528635025,-0.971235871315002
1774163144498,77478.810340005,-0.000650685280561447,0.70657342672348,0.149586722254753,0.188673883676529,0.12922927737236,0.0663109123706818,-0.971238851547241
1774163144498,77478.810528912,-0.000651384703814983,0.70657354593277,0.14958718419075,0.188670545816422,0.12922540307045,0.066303938627243,-0.97124046087265
1774163144511,77478.823024746,-0.000700116157531738,0.706593692302704,0.14960153400898,0.188231572508812,0.128927275538445,0.06576107442379,-0.971402227878571
1774163144525,77478.837171414,-0.000768523663282394,0.706619679927826,0.149672031402588,0.187512099742889,0.128577202558517,0.0654280483722687,-0.971610188484192
1774163144552,77478.86475824,-0.000720294192433357,0.706689298152924,0.149959206581116,0.185250625014305,0.12736988067627,0.0667536407709122,-0.972112715244293
1774163144568,77478.879920273,-0.000630468130111694,0.706775903701782,0.150117263197899,0.183943286538124,0.127238884568214,0.0692749246954918,-0.972201645374298
1774163144594,77478.906169806,-0.00068771094083786,0.706898033618927,0.150214448571205,0.182824999094009,0.131171479821205,0.0754076167941093,-0.971433341503143
1774163144608,77478.920291422,-0.000724460929632187,0.70697009563446,0.150170117616653,0.182900175452232,0.134172201156616,0.0790934264659882,-0.970716059207916
1774163144637,77478.949083977,-0.000538895837962627,0.707173764705658,0.149964645504951,0.184073850512505,0.137282162904739,0.0855724513530731,-0.969509124755859
1774163144649,77478.961445177,-0.000407161191105843,0.707281053066254,0.14982858300209,0.184659242630005,0.138153314590454,0.0877181440591812,-0.969082117080688
1774163144677,77478.989867106,-0.000196424312889576,0.707529127597809,0.149553313851357,0.185586586594582,0.140895560383797,0.0920435786247253,-0.968108475208282
1774163144691,77479.003665233,-0.000175638124346733,0.707615733146667,0.149476617574692,0.185784593224525,0.142162054777145,0.0933856666088104,-0.967756807804108
1774163144705,77479.017433515,-0.000201248563826084,0.707665383815765,0.149430811405182,0.185909405350685,0.143092781305313,0.0939603745937347,-0.967539966106415
