unix_time,ovr_timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1774163144498,77478.810072453,0.0581588745117188,0.928242802619934,-0.0406169891357422,0.296748578548431,0.180445492267609,-0.0651954188942909,0.935483455657959
1774163144498,77478.810373391,0.0581591129302979,0.928242981433868,-0.0406169891357422,0.296748161315918,0.180447414517403,-0.0651970654726028,0.93548309803009
1774163144498,77478.810570214,0.0581598281860352,0.928243160247803,-0.0406169891357422,0.296746253967285,0.180447459220886,-0.0651987418532372,0.935483634471893
1774163144511,77478.823263027,0.0581669807434082,0.928252875804901,-0.0406215190887451,0.296728581190109,0.180522620677948,-0.0652777180075645,0.935469150543213
1774163144525,77478.837467352,0.0581698417663574,0.928263664245605,-0.0406301021575928,0.29670837521553,0.180589497089386,-0.0653666332364082,0.935456454753876
1774163144553,77478.864985792,0.0581614971160889,0.928281664848328,-0.0406525135040283,0.296693593263626,0.180633425712585,-0.0654360726475716,0.935447812080383
1774163144568,77478.880185377,0.0581483840942383,0.928293228149414,-0.0406646728515625,0.296693354845047,0.180624634027481,-0.0654298067092896,0.935450077056885
1774163144594,77478.906230432,0.0582489967346191,0.928247690200806,-0.0406637191772461,0.296695858240128,0.180536225438118,-0.0654226616024971,0.935466766357422
1774163144608,77478.920370485,0.0583159923553467,0.928212225437164,-0.040661096572876,0.296695351600647,0.180452048778534,-0.0654201358556747,0.935483336448669
1774163144637,77478.94916028,0.0582804679870605,0.928221225738525,-0.0406723022460938,0.296683490276337,0.180299580097198,-0.0654479041695595,0.935514688491821
1774163144650,77478.961997937,0.0582611560821533,0.928224921226501,-0.0406761169433594,0.296677649021149,0.180246949195862,-0.0654855072498322,0.935523986816406
1774163144678,77478.989975232,0.0582096576690674,0.928236722946167,-0.0406773090362549,0.296664625406265,0.180137246847153,-0.0655914917588234,0.935541808605194
1774163144692,77479.003762264,0.0581798553466797,0.928243458271027,-0.0406715869903564,0.296656280755997,0.180077314376831,-0.0656519532203674,0.935551762580872
1774163144706,77479.01803487,0.0582013130187988,0.928222894668579,-0.0406699180603027,0.296639144420624,0.180003687739372,-0.0657069757580757,0.935567498207092
1774163144739,77479.050912529,0.0582430362701416,0.928184568881989,-0.0406656265258789,0.296591401100159,0.17985925078392,-0.065752848982811,0.935607194900513
1774163144749,77479.06073227,0.0582144260406494,0.928193688392639,-0.0406591892242432,0.296565562486649,0.179837122559547,-0.0657575353980064,0.935619294643402
1774163144775,77479.086789668,0.0581333637237549,0.928234934806824,-0.0406522750854492,0.296438813209534,0.179820895195007,-0.0657628402113914,0.93566220998764
1774163144790,77479.102529201,0.0580813884735107,0.928277194499969,-0.0406494140625,0.296333491802216,0.17984502017498,-0.0657612755894661,0.935691058635712
1774163144816,77479.12846962,0.0579860210418701,0.928367376327515,-0.0406432151794434,0.296142518520355,0.179877549409866,-0.065714418888092,0.935748517513275
1774163144830,77479.142704518,0.0580558776855469,0.928373634815216,-0.0406360626220703,0.296020984649658,0.179871186614037,-0.0656905025243759,0.935789823532104
1774163144860,77479.172371396,0.0581071376800537,0.928397119045258,-0.0406081676483154,0.295745640993118,0.179728150367737,-0.0655993893742561,0.935910880565643
1774163144873,77479.184891241,0.0580577850341797,0.928425490856171,-0.0405888557434082,0.295643240213394,0.179612949490547,-0.065591998398304,0.935965836048126
1774163144886,77479.197766086,0.0580005645751953,0.92845618724823,-0.0405669212341309,0.2955541908741,0.179501637816429,-0.0656266435980797,0.936012804508209
1774163144914,77479.226046349,0.0578584671020508,0.928541004657745,-0.0405123233795166,0.295441329479218,0.179251089692116,-0.0657945424318314,0.936084747314453
1774163144928,77479.240062236,0.0577716827392578,0.928584814071655,-0.040482759475708,0.295409113168716,0.179083913564682,-0.0658453181385994,0.936123371124268
1774163144955,77479.267379322,0.0576624870300293,0.92862606048584,-0.0405063629150391,0.295297592878342,0.178545996546745,-0.0658550187945366,0.936260521411896
1774163144969,77479.280874115,0.0575821399688721,0.928647756576538,-0.040510892868042,0.295160263776779,0.178111240267754,-0.0658684745430946,0.936385750770569
1774163144997,77479.30940542,0.0570747852325439,0.928806304931641,-0.0403084754943848,0.294557273387909,0.176235675811768,-0.0658990889787674,0.93692821264267
1774163145011,77479.32300464,0.0566978454589844,0.928923726081848,-0.0401577949523926,0.294135808944702,0.174595937132835,-0.0657101199030876,0.93738067150116
1774163145042,77479.354126153,0.0554623603820801,0.929297149181366,-0.0397243499755859,0.293150216341019,0.168605595827103,-0.0644369870424271,0.93887323141098
1774163145053,77479.364919696,0.0549187660217285,0.929469645023346,-0.0395345687866211,0.292714416980743,0.165842294692993,-0.0637731105089188,0.939546585083008
1774163145066,77479.37836501,0.0542008876800537,0.929669737815857,-0.0392947196960449,0.291958659887314,0.161936223506927,-0.0628623217344284,0.940523862838745
1774163145094,77479.406281002,0.0524172782897949,0.930278420448303,-0.0386149883270264,0.289445698261261,0.152348130941391,-0.0609898120164871,0.943022549152374
1774163145109,77479.421533347,0.0512213706970215,0.930770456790924,-0.0381405353546143,0.287694901227951,0.146184056997299,-0.0601966455578804,0.944583654403687
1774163145137,77479.449388923,0.0486917495727539,0.93175196647644,-0.0372700691223145,0.284354478120804,0.132977589964867,-0.058800470083952,0.947629690170288
1774163145150,77479.462173508,0.0473730564117432,0.932196378707886,-0.0368931293487549,0.282939791679382,0.125988706946373,-0.0579469501972198,0.949059545993805
1774163145179,77479.491281948,0.0439629554748535,0.933137655258179,-0.0361006259918213,0.279963463544846,0.107698231935501,-0.0546024292707443,0.952386498451233
1774163145192,77479.503760804,0.0423526763916016,0.933488845825195,-0.0357716083526611,0.278648287057877,0.098789393901825,-0.0525862351059914,0.953850269317627
1774163145206,77479.517991222,0.040377140045166,0.93389755487442,-0.0354218482971191,0.277163058519363,0.0878997296094894,-0.0500858500599861,0.955481946468353
1774163145234,77479.545855547,0.0360720157623291,0.934821367263794,-0.0348596572875977,0.274282068014145,0.0649528354406357,-0.0447269827127457,0.958410143852234
1774163145247,77479.559662007,0.0338101387023926,0.935306787490845,-0.0345923900604248,0.272567421197891,0.0530514270067215,-0.0418850816786289,0.959759473800659
1774163145275,77479.587280499,0.0290863513946533,0.936357259750366,-0.034111499786377,0.268327534198761,0.0287352502346039,-0.0361162610352039,0.962221562862396
1774163145288,77479.600671647,0.0267035961151123,0.936910450458527,-0.0339195728302002,0.265928685665131,0.0167656391859055,-0.0333747044205666,0.963268935680389
1774163145316,77479.62853467,0.0215716361999512,0.938144326210022,-0.0334937572479248,0.261048227548599,-0.00846680998802185,-0.0280425325036049,0.964881181716919
1774163145330,77479.642123942,0.0189752578735352,0.9387087225914,-0.0334057807922363,0.258840143680573,-0.0211012363433838,-0.0256131291389465,0.965349912643433
1774163145359,77479.67083332,0.0133616924285889,0.939790368080139,-0.0335206985473633,0.25406077504158,-0.0479516386985779,-0.019877340644598,0.965794324874878
1774163145372,77479.684273009,0.0106878280639648,0.940268576145172,-0.033672571182251,0.251986920833588,-0.0606755763292313,-0.0170318856835365,0.965676426887512
1774163145389,77479.701415615,0.00724196434020996,0.940845310688019,-0.0339622497558594,0.249661028385162,-0.0770793408155441,-0.0132245011627674,0.965170085430145
1774163145414,77479.726211294,0.00220918655395508,0.941605985164642,-0.0345256328582764,0.246680870652199,-0.101076155900955,-0.00727853178977966,0.963783800601959
1774163145429,77479.741363848,-0.000859498977661133,0.941983878612518,-0.0347561836242676,0.244919806718826,-0.115718305110931,-0.00338897481560707,0.962606847286224
