unix_time,ovr_timestamp,pos_x,pos_y,pos_z,rot_x,rot_y,rot_z,rot_w
1774163144498,77478.810105422,0.295940160751343,0.317678868770599,-0.077061653137207,-0.215376392006874,0.0345559418201447,-0.546740472316742,-0.808389723300934
1774163144498,77478.810416776,0.295940160751343,0.317678868770599,-0.077061653137207,-0.215376392006874,0.0345559790730476,-0.546740472316742,-0.808389663696289
1774163144498,77478.810596932,0.295940160751343,0.317678868770599,-0.077061653137207,-0.215376392006874,0.0345559939742088,-0.546740472316742,-0.808389663696289
1774163144511,77478.823304382,0.295925617218018,0.317685067653656,-0.0770511627197266,-0.215374767780304,0.0345678180456161,-0.546735465526581,-0.808392941951752
1774163144525,77478.837502612,0.295907974243164,0.317695915699005,-0.0770473480224609,-0.21537210047245,0.0345673933625221,-0.546739161014557,-0.808391153812408
1774163144553,77478.865025532,0.295871019363403,0.317710787057877,-0.0770657062530518,-0.215374231338501,0.0345820710062981,-0.546721041202545,-0.808402180671692
1774163144568,77478.880219179,0.295861959457397,0.317718505859375,-0.0770699977874756,-0.215371072292328,0.0345904305577278,-0.546723783016205,-0.808400928974152
1774163144594,77478.906263817,0.295959234237671,0.317673206329346,-0.0770654678344727,-0.21539294719696,0.0346106365323067,-0.546716272830963,-0.808399200439453
1774163144608,77478.920402464,0.296054363250732,0.317626178264618,-0.0770740509033203,-0.215403079986572,0.0346155092120171,-0.546702444553375,-0.808405816555023
1774163144637,77478.949198925,0.296060800552368,0.317622274160385,-0.0770907402038574,-0.215403944253922,0.0346303805708885,-0.546698868274689,-0.808407306671143
1774163144650,77478.962043041,0.296059370040894,0.317621886730194,-0.0770847797393799,-0.215408325195313,0.0346385166049004,-0.546704530715942,-0.808401882648468
1774163144678,77478.990026117,0.296031475067139,0.317631542682648,-0.0770773887634277,-0.215408086776733,0.0346487239003181,-0.546714603900909,-0.80839478969574
1774163144691,77479.003800493,0.29601001739502,0.317631542682648,-0.0770707130432129,-0.215416461229324,0.0346599519252777,-0.546709597110748,-0.808395504951477
1774163144706,77479.018150443,0.296031951904297,0.317608118057251,-0.0770633220672607,-0.215421825647354,0.0346724689006805,-0.546706736087799,-0.808395385742188
1774163144739,77479.050989613,0.296110391616821,0.317561268806458,-0.0770454406738281,-0.215399727225304,0.0346916168928146,-0.546727240085602,-0.808386504650116
1774163144748,77479.060764197,0.296092510223389,0.317561089992523,-0.0770406723022461,-0.215406179428101,0.0346908718347549,-0.546724796295166,-0.808386564254761
1774163144774,77479.086840085,0.296012878417969,0.317578017711639,-0.0770332813262939,-0.215395450592041,0.0346920862793922,-0.546724438667297,-0.808389663696289
1774163144790,77479.102579461,0.295965194702148,0.317591905593872,-0.0770223140716553,-0.215389639139175,0.0346933081746101,-0.546730577945709,-0.808386921882629
1774163144816,77479.128506704,0.29585337638855,0.31763169169426,-0.0770037174224854,-0.215394288301468,0.0347070544958115,-0.546722769737244,-0.808390378952026
1774163144830,77479.142748736,0.295895099639893,0.317625045776367,-0.0769996643066406,-0.21538670361042,0.0347066149115562,-0.546721279621124,-0.808393359184265
1774163144864,77479.176515406,0.296003103256226,0.317567825317383,-0.0769648551940918,-0.215393900871277,0.0347242429852486,-0.546714544296265,-0.808395266532898
1774163144872,77479.184925303,0.295973300933838,0.317571043968201,-0.0769624710083008,-0.215391874313354,0.034727543592453,-0.54670375585556,-0.808402955532074
1774163144885,77479.197805356,0.295932769775391,0.31757128238678,-0.0769569873809814,-0.215404272079468,0.0347397550940514,-0.546679258346558,-0.808415770530701
1774163144914,77479.226085776,0.295800447463989,0.317632108926773,-0.0769469738006592,-0.215397194027901,0.0347412675619125,-0.546644032001495,-0.808441400527954
1774163144928,77479.240108017,0.295731067657471,0.31766813993454,-0.0769317150115967,-0.215395510196686,0.0347518026828766,-0.546627104282379,-0.808452785015106
1774163144955,77479.267420624,0.295676946640015,0.317697286605835,-0.0769994258880615,-0.215404763817787,0.0347585007548332,-0.546589434146881,-0.80847555398941
1774163144968,77479.28091276,0.295671224594116,0.317690014839172,-0.0770454406738281,-0.215399146080017,0.034762017428875,-0.546576261520386,-0.808485746383667
